,city,cloudiness,country,date,humidity,latitude,longitude,max_temperature,wind_speed
158,Havelock,1,US,1573717250,74,34.88,-76.9,41.0,9.17
159,Lompoc,90,US,1573717250,87,34.64,-120.46,57.2,6.71
160,Praia da Vitoria,75,PT,1573717250,72,38.73,-27.07,62.6,16.73
161,Bethel,1,US,1573717250,65,60.79,-161.76,6.8,33.33
162,Leningradskiy,100,RU,1573717250,84,69.38,178.42,21.09,21.39
163,Tahara,20,JP,1573717250,62,34.64,137.18,57.2,33.33
164,Phayao,81,TH,1573717251,91,19.17,99.9,74.26,1.48
165,Eureka,90,US,1573717251,100,40.8,-124.16,48.2,5.82
166,Walvis Bay,90,NA,1573717251,87,-22.95,14.51,57.2,6.93
167,Lebu,75,ET,1573717251,52,8.96,38.73,64.4,13.87
168,Hay River,75,CA,1573717251,77,60.82,-115.79,-2.21,19.46
169,Biak,58,ID,1573717251,69,-0.91,122.88,83.93,16.17
170,Northam,100,AU,1573717252,11,-31.65,116.67,100.4,19.46
171,Great Yarmouth,75,GB,1573717252,93,52.61,1.73,44.6,9.17
172,Hualmay,42,PE,1573717252,93,-11.1,-77.61,59.11,3.11
173,Castro,90,CL,1573717252,100,-42.48,-73.76,51.8,8.05
174,Sechura,100,PE,1573717252,92,-5.56,-80.82,65.34,5.35
175,Trelew,38,AR,1573717252,32,-43.25,-65.31,57.85,19.64
176,Makueni,100,KE,1573717252,81,-1.8,37.62,69.85,2.73
177,Nikolskoye,40,RU,1573717253,81,59.7,30.79,44.6,8.95
178,Leticia,100,CO,1573717253,96,-4.21,-69.94,72.01,1.59
179,Fortuna,90,US,1573717253,100,40.6,-124.16,48.2,3.36
180,Georgetown,40,GY,1573717149,100,6.8,-58.16,75.2,2.24
181,Kieta,100,PG,1573717253,81,-6.22,155.63,80.4,3.04
182,Caidian,0,CN,1573717253,16,30.59,114.03,71.6,6.71
183,Ilhabela,100,BR,1573717254,90,-23.78,-45.36,72.97,10.63
184,Monroe,90,US,1573717254,86,41.91,-83.4,28.4,4.7
185,Ostrovnoy,100,RU,1573717254,93,68.05,39.51,34.14,13.96
186,Kruisfontein,0,ZA,1573717254,56,-34.0,24.73,71.22,13.98
187,Ancud,90,CL,1573717254,100,-41.87,-73.83,51.8,8.05
188,Gorodishche,1,RU,1573717254,70,53.27,45.7,40.53,3.38
189,Shinpokh,40,PK,1573717255,47,34.33,71.18,75.2,4.7
190,Sioux Lookout,90,CA,1573717255,72,50.1,-91.92,14.0,10.29
191,Weyburn,37,CA,1573717255,89,49.67,-103.85,30.9,11.45
192,Cape Town,20,ZA,1573717170,52,-33.93,18.42,69.8,27.51
193,Aldan,100,RU,1573717255,100,58.61,125.39,-22.46,2.89
194,Roosendaal,75,NL,1573717255,86,51.53,4.47,42.8,9.17
195,Lavrentiya,0,RU,1573717256,72,65.58,-170.99,23.52,29.77
196,Wum,34,CM,1573717256,68,6.39,10.08,79.36,1.68
197,Touros,40,BR,1573717256,83,-5.2,-35.46,75.2,4.7
198,Teshie,40,GH,1573717256,88,5.58,-0.11,80.6,3.36
199,Kozan,100,TR,1573717256,23,37.45,35.82,77.0,16.11
200,Shimoda,20,JP,1573717256,45,34.7,138.93,66.2,16.11
201,Fort Beaufort,26,ZA,1573717257,41,-32.78,26.63,73.24,5.46
202,Grindavik,2,IS,1573717257,74,63.84,-22.43,30.2,8.05
203,Teya,75,MX,1573717257,94,21.05,-89.07,75.2,4.7
204,Tasiilaq,100,GL,1573717257,94,65.61,-37.64,28.65,28.97
205,Nara,75,JP,1573717257,50,34.68,135.8,59.0,13.87
206,Coahuayana,99,MX,1573717257,86,18.62,-100.35,67.95,1.28
207,Constitucion,0,MX,1573717257,64,23.99,-104.67,44.28,1.81
208,Sibiti,100,CG,1573717258,68,-3.69,13.35,83.23,2.1
209,Airai,0,TL,1573717258,51,-8.93,125.41,77.43,5.3
210,Mocuba,88,MZ,1573717258,29,-16.84,36.99,103.12,4.34
211,Skjervoy,40,NO,1573717258,85,70.03,20.97,23.0,2.24
212,Rio Gallegos,75,AR,1573717258,87,-51.62,-69.22,48.2,11.41
213,Tay Ninh,68,VN,1573717225,63,11.3,106.1,87.33,5.75
214,Hermosillo,5,MX,1573717067,77,29.09,-110.96,66.2,0.87
215,Yima,0,CN,1573717259,27,34.75,111.87,62.33,5.91
216,Faya,2,SA,1573717259,40,18.39,42.45,69.8,4.7
217,Rawson,33,AR,1573717259,55,-43.3,-65.11,58.12,18.52
218,Itarema,100,BR,1573717259,70,-2.92,-39.92,79.39,7.76
219,Port Keats,83,AU,1573717259,56,-14.25,129.55,87.89,11.3
220,San Quintin,100,PH,1573717259,74,17.54,120.52,75.81,11.68
221,Port-Cartier,5,CA,1573717260,61,50.03,-66.88,15.8,5.82
222,Meadow Lake,100,CA,1573717260,97,54.13,-108.44,28.78,8.88
223,Chuy,83,UY,1573717260,95,-33.69,-53.46,67.23,7.81
224,Puerto Ayacucho,100,CO,1573717260,98,5.66,-67.63,72.77,2.06
225,Karratha,0,AU,1573717260,57,-20.74,116.85,83.66,22.97
226,Sanary-sur-Mer,100,FR,1573717260,75,43.12,5.8,48.2,2.24
227,Nuuk,100,GL,1573717261,100,64.17,-51.74,28.4,24.16
228,Ornskoldsvik,90,SE,1573717261,100,63.29,18.72,33.8,5.82
229,Berdigestyakh,100,RU,1573717261,95,62.1,126.7,-14.52,3.78
230,Abu Dhabi,0,AE,1573717172,25,24.47,54.37,98.6,8.05
231,Vestmannaeyjar,0,IS,1573717262,74,63.44,-20.27,30.2,11.41
232,Aykhal,90,RU,1573717262,74,65.95,111.51,-25.61,6.71
233,Demmin,20,DE,1573717262,93,53.91,13.03,35.6,4.7
234,Dasoguz,100,TM,1573717262,33,41.84,59.97,50.0,4.7
235,Sola,99,TZ,1573717262,46,-3.17,33.8,80.38,6.04
236,Sao Jose,74,AO,1573717262,73,-12.77,15.77,72.28,5.93
237,Millington,1,US,1573717262,74,35.34,-89.9,32.0,5.73
238,Vila Franca do Campo,75,PT,1573717263,59,37.72,-25.43,62.6,10.29
239,Havre-Saint-Pierre,1,CA,1573717069,57,50.23,-63.6,19.4,17.22
240,Quatre Cocos,40,MU,1573717263,65,-20.21,57.76,82.4,9.17
241,Pustoshka,100,RU,1573717263,76,56.34,29.37,46.72,13.67
242,Sao Sebastiao,100,BR,1573717263,93,-3.15,-58.36,74.28,1.77
243,Coihaique,75,CL,1573717264,76,-45.58,-72.07,50.0,4.7
244,Sept-Iles,5,CA,1573717091,61,50.2,-66.38,15.8,5.82
245,Gatesville,90,US,1573717264,71,31.44,-97.74,39.2,3.36
246,Bubaque,38,GW,1573717264,76,11.28,-15.83,81.88,9.86
247,Paita,100,PE,1573717264,81,-5.09,-81.11,68.9,7.18
248,Kolyvan,52,RU,1573717264,72,55.31,82.74,10.4,6.71
249,Tuatapere,59,NZ,1573717264,98,-46.13,167.69,41.83,2.64
250,Victoria,75,BN,1573717225,62,5.28,115.24,89.6,3.36
251,Hambantota,20,LK,1573717265,66,6.12,81.12,87.8,8.05
252,Alice Springs,0,AU,1573717265,5,-23.7,133.88,87.8,8.05
253,Santa Cruz del Norte,20,CU,1573717265,100,23.15,-81.92,68.0,2.24
254,Shingu,20,JP,1573717265,44,33.72,135.99,59.0,20.8
255,Belyy Yar,100,RU,1573717266,66,53.6,91.39,14.0,6.71
256,La Mata,100,ES,1573717266,93,40.62,-0.28,34.74,25.01
257,Mahajanga,20,MG,1573717266,55,-15.72,46.32,91.4,9.17
258,Dangriga,26,BZ,1573717266,84,16.97,-88.23,78.89,11.68
259,Ketchikan,90,US,1573717266,87,55.34,-131.65,50.0,20.8
260,Mattru,11,SL,1573717266,79,7.62,-11.83,81.63,3.02
261,Tyulgan,82,RU,1573717267,80,52.34,56.17,35.92,8.34
262,Kaitangata,100,NZ,1573717267,85,-46.28,169.85,50.74,13.94
263,Naze,75,NG,1573717267,94,5.43,7.07,75.2,3.85
264,Bergheim,40,DE,1573717267,86,50.95,6.64,42.8,10.29
265,Atbasar,96,KZ,1573717267,89,51.81,68.36,19.83,13.94
266,Alugan,100,PH,1573717267,85,12.22,125.48,81.1,11.65
267,Nouakchott,18,MR,1573717267,68,18.08,-15.98,64.4,5.82
268,Yerbogachen,87,RU,1573717267,95,61.28,108.01,-20.89,3.06
269,Lufilufi,100,WS,1573717268,82,-13.87,-171.6,79.52,17.09
270,Ossora,100,RU,1573717268,95,59.24,163.07,35.01,14.7
271,Banda Aceh,100,ID,1573717268,75,5.56,95.32,82.38,4.03
272,Corrente,99,BR,1573717268,81,-17.45,-44.68,68.31,9.69
273,Kahului,20,US,1573717268,78,20.89,-156.47,77.0,9.17
274,La Ronge,90,CA,1573717268,85,55.1,-105.3,19.4,11.41
275,Gwadar,0,PK,1573717269,29,25.12,62.33,78.33,2.04
276,Pevek,100,RU,1573717269,57,69.7,170.27,25.52,15.26
